date,temp
2023-01-01,17.06
2023-01-02,17.23
2023-01-03,17.53
2023-01-04,17.64
2023-01-05,17.37
2023-01-06,17.24
2023-01-07,17.52
2023-01-08,17.34
2023-01-09,16.92
2023-01-10,17.02
2023-01-11,17.28
2023-01-12,17.13
2023-01-13,16.76
2023-01-14,16.19
2023-01-15,16.52
2023-01-16,16.51
2023-01-17,16.9
2023-01-18,16.99
2023-01-19,16.8
2023-01-20,17.02
2023-01-21,17.16
2023-01-22,16.98
2023-01-23,16.74
2023-01-24,16.37
2023-01-25,16.49
2023-01-26,16.59
2023-01-27,16.64
2023-01-28,16.56
2023-01-29,16.71
2023-01-30,16.83
2023-01-31,16.65
2023-02-01,15.99
2023-02-02,16.1
2023-02-03,15.99
2023-02-04,16.07
2023-02-05,16.1
2023-02-06,16.31
2023-02-07,16.61
2023-02-08,16.52
2023-02-09,16.54
2023-02-10,16.61
2023-02-11,16.72
2023-02-12,16.98
2023-02-13,17.39
2023-02-14,17.92
2023-02-15,17.85
2023-02-16,17.98
2023-02-17,17.7
2023-02-18,17.62
2023-02-19,17.47
2023-02-20,17.18
2023-02-21,17.09
2023-02-22,17.68
2023-02-23,18.28
2023-02-24,18.17
2023-02-25,17.73
2023-02-26,17.71
2023-02-27,17.69
2023-02-28,17.81
2023-03-01,17.75
2023-03-02,17.5
2023-03-03,17.46
2023-03-04,17.66
2023-03-05,17.97
2023-03-06,18.01
2023-03-07,17.68
2023-03-08,17.44
2023-03-09,17.99
2023-03-10,17.98
2023-03-11,18.09
2023-03-12,18.53
2023-03-13,18.92
2023-03-14,19.16
2023-03-15,19.53
2023-03-16,19.67
2023-03-17,19.7
2023-03-18,19.78
2023-03-19,20.0
2023-03-20,20.13
2023-03-21,19.92
2023-03-22,19.85
2023-03-23,19.77
2023-03-24,19.54
2023-03-25,19.42
2023-03-26,19.42
2023-03-27,19.91
2023-03-28,20.32
2023-03-29,20.33
2023-03-30,20.56
2023-03-31,20.61
