date,v1_avg_less_15,v2_min_less_17,v3_avg_less_17,v4_min_less_17,v5_max_above_35,v5_avg_less_20,v5_avg_above_30,v5_diff_less_7,v6_max_above_28,v6_min_less_22,v6_avg_less_26
1979-01-01,1,40,0,3,0,0,0,0,28,30,27
1979-01-02,1,40,0,3,0,0,0,0,27,29,26
1979-01-03,1,40,0,3,0,0,0,0,28,30,27
1979-01-04,1,39,0,3,0,0,0,0,27,29,26
1979-01-05,1,38,0,3,0,0,0,0,28,30,27
1979-01-06,1,39,0,3,0,0,0,0,27,29,26
1979-01-07,1,39,1,2,0,0,0,0,28,30,27
1979-01-08,1,38,1,2,0,0,0,0,27,29,26
1979-01-09,1,38,1,1,0,0,0,0,27,29,26
1979-01-10,1,39,1,0,0,0,0,0,28,30,27
1979-01-11,1,38,1,0,0,0,0,0,27,29,26
1979-01-12,2,37,1,0,0,0,0,0,27,29,26
1979-01-13,4,35,1,0,0,0,0,0,27,29,26
1979-01-14,5,35,1,0,0,0,0,0,26,29,26
1979-01-15,5,35,1,0,0,0,0,0,26,29,26
1979-01-16,5,35,1,0,0,0,0,0,26,29,26
1979-01-17,4,35,1,0,0,0,0,0,26,29,26
1979-01-18,4,35,1,0,0,0,0,0,26,29,26
1979-01-19,4,35,1,0,0,0,0,0,26,29,26
1979-01-20,4,34,1,0,0,0,0,0,26,29,26
1979-01-21,4,34,1,0,0,0,0,0,27,29,26
1979-01-22,4,34,1,0,0,0,0,0,27,29,26
1979-01-23,4,34,1,0,0,0,0,0,27,28,25
1979-01-24,4,35,1,0,0,0,0,0,28,29,26
1979-01-25,4,35,1,0,0,0,0,0,28,29,26
1979-01-26,4,35,1,1,0,0,0,0,27,28,25
1979-01-27,4,34,1,1,0,0,0,0,27,28,25
1979-01-28,4,33,1,2,0,0,0,0,28,29,25
1979-01-29,4,31,1,2,0,0,0,0,28,28,24
1979-01-30,4,30,1,2,0,0,0,0,27,27,24
1979-01-31,4,29,1,2,0,0,0,0,28,28,25
1979-02-01,3,30,1,2,0,0,0,0,27,27,24
1979-02-02,2,30,1,2,0,0,0,0,28,28,25
1979-02-03,1,29,1,2,0,0,0,0,28,28,25
1979-02-04,0,29,1,2,0,0,0,0,27,27,24
1979-02-05,0,29,1,2,0,0,0,0,28,27,25
1979-02-06,0,29,1,2,1,0,0,0,28,26,25
1979-02-07,0,29,1,2,1,0,0,0,28,26,25
1979-02-08,0,30,0,2,1,0,0,0,28,26,26
1979-02-09,0,31,0,2,1,0,0,0,28,26,26
1979-02-10,0,31,0,2,1,0,0,0,28,26,26
