date,city_name_date,temp_date,temp_min_date,temp_max_date
1979-01-01,Huwei,19.67,14.97,23.97
1979-01-02,Huwei,16.81,11.47,25.97
1979-01-03,Huwei,18.19,12.92,24.97
1979-01-04,Huwei,17.42,12.95,25.41
1979-01-05,Huwei,16.2,10.2,25.97
1979-01-06,Huwei,16.95,12.11,25.97
1979-01-07,Huwei,16.53,10.61,27.41
1979-01-08,Huwei,16.93,11.84,27.39
1979-01-09,Huwei,18.32,14.98,24.41
1979-01-10,Huwei,18.54,14.21,28.39
1979-01-11,Huwei,18.25,11.25,26.97
1979-01-12,Huwei,17.29,12.28,25.97
1979-01-13,Huwei,16.19,10.19,25.41
1979-01-14,Huwei,16.07,10.14,23.97
1979-01-15,Huwei,15.24,11.19,21.97
1979-01-16,Huwei,13.98,10.38,25.41
1979-01-17,Huwei,17.16,11.97,27.97
1979-01-18,Huwei,18.81,14.51,26.97
1979-01-19,Huwei,15.61,12.97,26.39
1979-01-20,Huwei,16.18,12.54,26.39
1979-01-21,Huwei,16.81,11.51,30.39
1979-01-22,Huwei,15.98,10.98,29.39
1979-01-23,Huwei,17.03,12.34,28.41
1979-01-24,Huwei,17.84,12.77,28.39
1979-01-25,Huwei,19.51,14.56,28.97
1979-01-26,Huwei,19.47,14.02,30.41
1979-01-27,Huwei,19.8,14.27,29.97
1979-01-28,Huwei,20.06,14.78,31.39
1979-01-29,Huwei,20.72,15.39,27.97
1979-01-30,Huwei,18.21,14.32,26.39
1979-01-31,Huwei,14.42,9.97,21.41
1979-02-01,Huwei,10.49,7.97,21.41
1979-02-02,Huwei,11.08,7.98,21.41
1979-02-03,Huwei,14.92,11.19,23.97
1979-02-04,Huwei,16.42,11.49,27.39
1979-02-05,Huwei,16.82,12.8,27.39
1979-02-06,Huwei,16.34,11.93,25.39
1979-02-07,Huwei,18.38,14.9,23.97
1979-02-08,Huwei,17.77,12.75,28.39
1979-02-09,Huwei,17.94,12.78,30.39
1979-02-10,Huwei,19.39,15.63,29.41
1979-02-11,Huwei,19.13,15.21,29.41
1979-02-12,Huwei,19.46,15.86,26.41
1979-02-13,Huwei,20.1,15.76,27.97
1979-02-14,Huwei,19.98,16.71,23.97
1979-02-15,Huwei,17.7,12.73,26.41
1979-02-16,Huwei,15.27,9.98,26.41
1979-02-17,Huwei,16.25,10.37,28.39
1979-02-18,Huwei,17.53,10.64,27.41
1979-02-19,Huwei,18.93,12.55,25.39
1979-02-20,Huwei,19.72,13.97,29.39
1979-02-21,Huwei,20.41,14.75,32.39
1979-02-22,Huwei,23.27,17.9,31.41
1979-02-23,Huwei,23.6,18.98,33.39
1979-02-24,Huwei,23.38,18.18,29.41
1979-02-25,Huwei,22.18,17.85,27.97
1979-02-26,Huwei,19.23,14.97,25.41
1979-02-27,Huwei,17.17,14.97,23.41
1979-02-28,Huwei,16.38,13.93,23.41
1979-03-01,Huwei,14.3,11.97,21.41
1979-03-02,Huwei,14.49,10.79,23.41
1979-03-03,Huwei,16.5,9.41,22.97
